recording_id	recording_title	recording_path	performer_name	label_name	catalog_number	format	source_id	source_reference	confidence	review_status
REC004756	Sol De Invierno	/recordings/sol-de-invierno	Trio Hermanos Michel	Peerless	6130-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004757	Solamente Una Vez	/recordings/solamente-una-vez-23	Manuelita Arriola	Peerless	1996	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004758	Solamente Una Vez	/recordings/solamente-una-vez-24	Trio Guayacan	Peerless	3137	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004759	Solamente Una Vez	/recordings/solamente-una-vez-25	Trio Cantarrecio	Peerless	4274-A	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004760	Solamente Una Vez	/recordings/solamente-una-vez-32	Manuelita Arriola	Peerless	4388	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004761	Soldado Raso	/recordings/soldado-raso-15	Pedro Infante	Peerless	2000	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004762	Soldado Raso	/recordings/soldado-raso-19	Pedro Infante	Peerless	LPL-189	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004763	Soledad	/recordings/soledad-19	Enrique Alejandro	Peerless	9990-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004764	Solito Mejor Solito	/recordings/solito-mejor-solito-12	Lola Beltrán	Peerless	8655-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004765	Solito Mejor Solito	/recordings/solito-mejor-solito-16	Lola Beltrán	Peerless	LP-1202	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004766	Sollozo	/recordings/sollozo-5	Julio Flores	Peerless	1565	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004767	Solo	/recordings/solo-8	Hermanos Zaizar	Peerless	S-1461	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004768	Solo Dios	/recordings/solo-dios-20	Lola Beltrán	Peerless	3660	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
