artist_candidate_id	batch_recording_id	confidence	evidence_text	raw_artist_text	relationship_type	review_status	source_id	source_reference
SRC0003-B0001-ART002	SRC0003-B0001-REC007	high	Fania official shop product page: release='Siembra', track='B4', raw_track='Siembra'	Rubén Blades	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B4
SRC0003-B0001-ART003	SRC0003-B0001-REC008	high	Fania official shop product page: release='Celia & Johnny', track='A1', raw_track='Quimbara'	Celia Cruz	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A1
SRC0003-B0001-ART004	SRC0003-B0001-REC008	high	Fania official shop product page: release='Celia & Johnny', track='A1', raw_track='Quimbara'	Johnny Pacheco	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A1
SRC0003-B0001-ART003	SRC0003-B0001-REC009	high	Fania official shop product page: release='Celia & Johnny', track='A2', raw_track='Toro Mata'	Celia Cruz	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A2
SRC0003-B0001-ART004	SRC0003-B0001-REC009	high	Fania official shop product page: release='Celia & Johnny', track='A2', raw_track='Toro Mata'	Johnny Pacheco	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A2
SRC0003-B0001-ART003	SRC0003-B0001-REC010	high	Fania official shop product page: release='Celia & Johnny', track='A3', raw_track='Vieja Luna'	Celia Cruz	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A3
SRC0003-B0001-ART004	SRC0003-B0001-REC010	high	Fania official shop product page: release='Celia & Johnny', track='A3', raw_track='Vieja Luna'	Johnny Pacheco	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A3
SRC0003-B0001-ART003	SRC0003-B0001-REC011	high	Fania official shop product page: release='Celia & Johnny', track='A4', raw_track='El Paso del Mulo'	Celia Cruz	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A4
SRC0003-B0001-ART004	SRC0003-B0001-REC011	high	Fania official shop product page: release='Celia & Johnny', track='A4', raw_track='El Paso del Mulo'	Johnny Pacheco	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A4
SRC0003-B0001-ART003	SRC0003-B0001-REC012	high	Fania official shop product page: release='Celia & Johnny', track='A5', raw_track='Tengo el Idde'	Celia Cruz	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A5
SRC0003-B0001-ART004	SRC0003-B0001-REC012	high	Fania official shop product page: release='Celia & Johnny', track='A5', raw_track='Tengo el Idde'	Johnny Pacheco	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A5
SRC0003-B0001-ART003	SRC0003-B0001-REC013	high	Fania official shop product page: release='Celia & Johnny', track='B1', raw_track='Lo Tuyo es Mental'	Celia Cruz	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B1
SRC0003-B0001-ART004	SRC0003-B0001-REC013	high	Fania official shop product page: release='Celia & Johnny', track='B1', raw_track='Lo Tuyo es Mental'	Johnny Pacheco	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B1
SRC0003-B0001-ART003	SRC0003-B0001-REC014	high	Fania official shop product page: release='Celia & Johnny', track='B2', raw_track='Canto a la Habana'	Celia Cruz	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B2
SRC0003-B0001-ART004	SRC0003-B0001-REC014	high	Fania official shop product page: release='Celia & Johnny', track='B2', raw_track='Canto a la Habana'	Johnny Pacheco	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B2
