recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC000319	Ando Vagando			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000320	Angelina			PER000215			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000321	Angelitos Negros			PER000176			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000323	Angelitos Negros			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000324	Angustia			PER000211			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000325	Angustia De Pensar			PER000249			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000326	Anhelo			PER000200			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000327	Anillo De Compromiso			PER000117			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000328	Anillo De Compromiso			PER000117			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000329	Anillo De Compromiso			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000330	Animese Vida Mia			PER000130			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000332	Anoche Estuve Llorando			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000333	Anoche Hable Con La Luna			PER000249			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000334	Anoche Nos Peleamos			PER000176			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000335	Anoche Platicamos			PER000199			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000336	Anoche Te Senti			PER000213			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000338	Anselma			PER000144			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000339	Ansiandote			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000340	Ansiandote			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000341	Ansiandote			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000342	Ansias			PER000198			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000344	Ansiedad De Vivir			PER000199			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000345	Antes Que Nada			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000346	Antes Y Despues			PER000231			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000350	Apiadate De Mi			PER000108			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000352	Aprende De Mi			PER000094			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000353	Aquel Amor			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000355	Aquel Puñado De Arena			PER000151			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000356	Aquella Herida			PER000232			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000358	Aquella Promesa			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000360	Aquellos Tiempos			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000361	Aqui Esta Heraclio Bernal			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000362	Aqui Esta Heraclio Bernal			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000365	Arandas			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000369	Arnulfo Gonzalez			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000373	Arrancame El Corazon			PER000238			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000374	Arrancame La Vida			PER000061			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000378	Arrepentida			PER000212			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000379	Arrepentida			PER000133			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000380	Arrepentido			PER000061			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000381	Arriba El Norte			PER000141			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000384	Arriba Sinaloa			PER000036			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000385	Arriba Tequila!			PER000141			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000387	Arrivederci Maria			PER000075			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000388	Arrivederci Miguel			PER000246			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000389	Arrullos De Mar			PER000205			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000390	Arráncate			PER000029			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000392	Asi			PER000158			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000394	Asi			PER000031			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000397	Asi Es La Vida			PER000258			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
