unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method
UNIT0113-05-010	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	La Cerveza	duplicate	existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC005639	SONG004281				complete_or_exceeds_track_count	short_description
UNIT0113-06-001	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	A Mi Dios Todo le Debo	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005560	SONG004215			REL000006	partial_10_of_15	description_tab
UNIT0113-06-002	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	Confundido	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005561	SONG004216			REL000006	partial_10_of_15	description_tab
UNIT0113-06-003	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	El Arbol	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005562	SONG004217			REL000006	partial_10_of_15	description_tab
UNIT0113-06-004	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	El Caminante	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005563	SONG004218			REL000006	partial_10_of_15	description_tab
UNIT0113-06-005	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	El Centurión de la Noche	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005564	SONG004219			REL000006	partial_10_of_15	description_tab
UNIT0113-06-006	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	El Cocinero Mayor	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005565	SONG004220			REL000006	partial_10_of_15	description_tab
UNIT0113-06-007	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	El Son del Caballo	duplicate	existing_authority_title_match;duplicate_title_within_unit0113;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005566	SONG004221			REL000006	partial_10_of_15	description_tab
UNIT0113-06-008	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	La Maestranza # 1	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005567	SONG004222			REL000006	partial_10_of_15	description_tab
UNIT0113-06-009	SRC0002	6	USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	Por Ti No Moriré	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005568	SONG004223			REL000006	partial_10_of_15	description_tab
