recording_id	canonical_recording_title	canonical_song_id	label_id	source_id	recording_year	country	language	gap
REC000407	Asi Semos En Jalisco	SONG000309	LBL000003	SRC0001				artist
REC000412	Asomate A Mi Alma	SONG000313	LBL000003	SRC0001				artist
REC000423	Aunque Pasen Los Años	SONG000320	LBL000003	SRC0001				artist
REC000427	Aurora	SONG000323	LBL000003	SRC0001				artist
REC000430	Ausencia	SONG000324	LBL000003	SRC0001				artist
REC000440	Ay Coahuila	SONG000333	LBL000003	SRC0001				artist
REC000441	Ay Cuanto Quiero A Mi Consuelito	SONG000334	LBL000003	SRC0001				artist
REC000446	AY! Uruapan	SONG000338	LBL000003	SRC0001				artist
REC000453	Ay! Chihuahua, Cuanto Apache	SONG000344	LBL000003	SRC0001				artist
REC000470	Bahia	SONG000358	LBL000003	SRC0001				artist
REC000473	Baile De Los Turroneros	SONG000361	LBL000003	SRC0001				artist
REC000489	Barrio Alegre	SONG000371	LBL000003	SRC0001				artist
REC000518	Besos De Papel	SONG000389	LBL000003	SRC0001				artist
REC000522	Bigotes	SONG000393	LBL000003	SRC0001				artist
REC000523	Bijou	SONG000394	LBL000003	SRC0001				artist
REC000525	Blanca	SONG000396	LBL000003	SRC0001				artist
REC000530	Bohemia	SONG000400	LBL000003	SRC0001				artist
REC000532	Bongo Bongo	SONG000402	LBL000003	SRC0001				artist
REC000569	Caldo De Oso	SONG000438	LBL000003	SRC0001				artist
REC000571	Calientito	SONG000440	LBL000003	SRC0001				artist
REC000572	Calla Jilguero	SONG000441	LBL000003	SRC0001				artist
REC000602	Camioncito Flecha Roja	SONG000467	LBL000003	SRC0001				artist
REC000603	Camioncito Flecha Roja	SONG000467	LBL000003	SRC0001				artist
REC000612	Cancion De Amor	SONG000475	LBL000003	SRC0001				artist
REC000624	Cancion Mixteca	SONG000481	LBL000003	SRC0001				artist
REC000639	Canta Canta	SONG000487	LBL000003	SRC0001				artist
REC000647	Cantinero	SONG000493	LBL000003	SRC0001				artist
REC000648	Cantinero	SONG000493	LBL000003	SRC0001				artist
REC000669	Cariño Falso	SONG000510	LBL000003	SRC0001				artist
REC000681	Cariñoso	SONG000516	LBL000003	SRC0001				artist
REC000682	Carlos Arruza	SONG000517	LBL000003	SRC0001				artist
REC000696	Carta Fatal	SONG000526	LBL000003	SRC0001				artist
REC000701	Carta Y Contestacion De Eufemia	SONG000529	LBL000003	SRC0001				artist
REC000716	Cañitas	SONG000538	LBL000003	SRC0001				artist
REC000730	Cha Chacha De Los Cariñosos	SONG000550	LBL000003	SRC0001				artist
REC000735	Chaflan	SONG000555	LBL000003	SRC0001				artist
REC000736	Chain Suby	SONG000556	LBL000003	SRC0001				artist
REC000738	Changuito’s Suby	SONG000558	LBL000003	SRC0001				artist
REC000739	Chapala	SONG000559	LBL000003	SRC0001				artist
REC000741	Chapultepec	SONG000561	LBL000003	SRC0001				artist
REC000753	Chulo Mi Rancho	SONG000572	LBL000003	SRC0001				artist
REC000763	Cielo Andaluz	SONG000577	LBL000003	SRC0001				artist
REC000785	Clavelito	SONG000591	LBL000003	SRC0001				artist
REC000786	Club Verde	SONG000592	LBL000003	SRC0001				artist
REC000791	Cogele Bien El Compas	SONG000595	LBL000003	SRC0001				artist
REC000800	Como Fué	SONG000604	LBL000003	SRC0001				artist
REC000809	Como Que No!	SONG000613	LBL000003	SRC0001				artist
REC000813	Como Una Colilla	SONG000617	LBL000003	SRC0001				artist
REC000816	Compadecete Mujer	SONG000619	LBL000003	SRC0001				artist
REC000822	Comprendeme	SONG000623	LBL000003	SRC0001				artist
REC000831	Con La Esperanza	SONG000631	LBL000003	SRC0001				artist
REC000835	Con Mi 30-30	SONG000634	LBL000003	SRC0001				artist
REC000843	Con Rabia Y Despecho	SONG000642	LBL000003	SRC0001				artist
REC000847	Conchita	SONG000645	LBL000003	SRC0001				artist
REC000871	Consuelito	SONG000663	LBL000003	SRC0001				artist
REC000881	Contigo A La Distancia	SONG000672	LBL000003	SRC0001				artist
REC000885	Copacabana	SONG000675	LBL000003	SRC0001				artist
REC000888	Copla Numero Dos	SONG000678	LBL000003	SRC0001				artist
REC000915	Corona De Espadas	SONG000701	LBL000003	SRC0001				artist
REC000919	Corrido A La Noria	SONG000704	LBL000003	SRC0001				artist
REC000923	Corrido Adolfo Ruiz Cortines	SONG000708	LBL000003	SRC0001				artist
REC000928	Corrido De Arnulfo Gonzalez	SONG000713	LBL000003	SRC0001				artist
REC000929	Corrido De Cananea	SONG000714	LBL000003	SRC0001				artist
REC000931	Corrido De Cananea	SONG000714	LBL000003	SRC0001				artist
REC000941	Corrido De Elena	SONG000721	LBL000003	SRC0001				artist
REC000942	Corrido De Heraclio Bernal	SONG000722	LBL000003	SRC0001				artist
REC000945	Corrido de Lopez Mateos Soy Puro Mexicano	SONG000725	LBL000003	SRC0001				artist
REC000946	Corrido de Lopez Mateos Soy Puro Mexicano	SONG000725	LBL000003	SRC0001				artist
REC000949	Corrido De Lupe Velez	SONG000728	LBL000003	SRC0001				artist
REC000954	Corrido De Nicolas Zurdo Flores	SONG000732	LBL000003	SRC0001				artist
REC000959	Corrido De Rafaelita	SONG000737	LBL000003	SRC0001				artist
REC000964	Corrido De Valente Quintero	SONG000740	LBL000003	SRC0001				artist
REC000970	Corrido Del Cantador	SONG000745	LBL000003	SRC0001				artist
