recording_id	label_id	relationship_type	source_id	confidence	review_status
REC000331	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000332	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000333	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000334	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000335	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000336	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000337	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000338	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000339	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000340	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000341	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000342	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000343	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000344	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000345	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000346	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000347	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000348	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000349	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000350	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000351	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000352	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000353	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000354	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000355	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000356	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000357	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000358	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000359	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000360	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000361	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000362	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000363	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000364	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000365	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000366	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000367	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000368	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000369	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000370	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000371	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000372	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000373	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000374	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000375	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000376	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000377	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000378	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000379	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000380	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000381	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000382	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000383	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000384	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000385	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000386	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000387	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000388	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000389	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000390	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000391	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000392	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000393	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000394	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000395	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000396	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000397	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000398	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000399	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000400	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000401	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000402	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000403	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000404	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000405	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000406	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000407	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000408	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000409	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000410	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000411	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000412	LBL000002	recording_label	SRC0001	medium	needs_review
REC000413	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000414	LBL000002	recording_label	SRC0001	high	raw_extracted
