raw_source_id	raw_source_unit	raw_page	raw_row_in_page	source_id	source_reference	recording_path	raw_recording_title	recording_title	performer_name	composer_name	label_name	catalog_number	format	evidence_text	confidence	review_status
SRC-0010	frontera_peerless_ajax_full_0001	1	14	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/rebozasos-0	A Rebozasos	A Rebozasos	Erendira Y Rene	Duenas, Luis	Peerless	4809B	78	Frontera Peerless AJAX row: title='A Rebozasos', performer='Erendira Y Rene', label='Peerless', catalog='4809B', format='78', path='/recordings/rebozasos-0'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	15	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/rienda-suelta-21	A Rienda Suelta	A Rienda Suelta	Juan Mendoza	Trejo, Valeriano	Peerless	5048	78	Frontera Peerless AJAX row: title='A Rienda Suelta', performer='Juan Mendoza', label='Peerless', catalog='5048', format='78', path='/recordings/rienda-suelta-21'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	16	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/san-pedro	A San Pedro	A San Pedro	Tropical Florida	Saenz, Raymundo - Molina, Jorge	Peerless	1018-B	45	Frontera Peerless AJAX row: title='A San Pedro', performer='Tropical Florida', label='Peerless', catalog='1018-B', format='45', path='/recordings/san-pedro'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	17	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/solas-contigo-4	A Solas Contigo	A Solas Contigo	Martha Triana	Ruíz, Gabriel - Zorrilla Martínez, José Antonio	Peerless	2302	78	Frontera Peerless AJAX row: title='A Solas Contigo', performer='Martha Triana', label='Peerless', catalog='2302', format='78', path='/recordings/solas-contigo-4'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	18	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/su-salud-4	A Su Salud	A Su Salud	Julio Aldama	Sánchez, Cuco	Peerless	5078	45	Frontera Peerless AJAX row: title='A Su Salud', performer='Julio Aldama', label='Peerless', catalog='5078', format='45', path='/recordings/su-salud-4'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	19	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/ti-que-16	A Ti Que	A Ti Que	Hermanos Zaizar	de Jesus Morales, José	Peerless	4737A	78	Frontera Peerless AJAX row: title='A Ti Que', performer='Hermanos Zaizar', label='Peerless', catalog='4737A', format='78', path='/recordings/ti-que-16'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	20	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/todo-dar-21	A Todo Dar	A Todo Dar	Pedro Infante	Jaime, Ignacio	Peerless	5057	45	Frontera Peerless AJAX row: title='A Todo Dar', performer='Pedro Infante', label='Peerless', catalog='5057', format='45', path='/recordings/todo-dar-21'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	21	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/todo-dar-22	A Todo Dar	A Todo Dar	Manuel D. Núñez	Peña, Rolando	Peerless	10004-A	45	Frontera Peerless AJAX row: title='A Todo Dar', performer='Manuel D. Núñez', label='Peerless', catalog='10004-A', format='45', path='/recordings/todo-dar-22'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	22	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/todo-dar-29	A Todo Dar	A Todo Dar	Manuel D. Núñez	Peña, Rolando	Peerless	LD-808	33	Frontera Peerless AJAX row: title='A Todo Dar', performer='Manuel D. Núñez', label='Peerless', catalog='LD-808', format='33', path='/recordings/todo-dar-29'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	23	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/traves-de-mi-llanto	A Traves De Mi Llanto	A Traves De Mi Llanto	David Zaizar	Herrera, Antonio V.	Peerless	LP-1444	33	Frontera Peerless AJAX row: title='A Traves De Mi Llanto', performer='David Zaizar', label='Peerless', catalog='LP-1444', format='33', path='/recordings/traves-de-mi-llanto'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	24	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/un-coraz%C3%B3n-13	A Un Corazón	A Un Corazón	Juan Mendoza	Hernandez Rivera, R.	Peerless	7667-B	45	Frontera Peerless AJAX row: title='A Un Corazón', performer='Juan Mendoza', label='Peerless', catalog='7667-B', format='45', path='/recordings/un-coraz%C3%B3n-13'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	25	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/un-coraz%C3%B3n-17	A Un Corazón	A Un Corazón	Juan Mendoza	Hernández, R.	Peerless	LD-508	33	Frontera Peerless AJAX row: title='A Un Corazón', performer='Juan Mendoza', label='Peerless', catalog='LD-508', format='33', path='/recordings/un-coraz%C3%B3n-17'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	26	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/una-ola-2	A Una Ola	A Una Ola	Lupita Cabrera	Grever, Maria	Peerless	3071	78	Frontera Peerless AJAX row: title='A Una Ola', performer='Lupita Cabrera', label='Peerless', catalog='3071', format='78', path='/recordings/una-ola-2'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	27	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/venezuela-7	A Venezuela	A Venezuela	Tony Camargo	Ribot, Agustin	Peerless	3050	78	Frontera Peerless AJAX row: title='A Venezuela', performer='Tony Camargo', label='Peerless', catalog='3050', format='78', path='/recordings/venezuela-7'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	28	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/ver-que-pasa-1	A Ver Que Pasa	A Ver Que Pasa	La Prieta Linda	Curiel, Sebastián	Peerless	5053	78	Frontera Peerless AJAX row: title='A Ver Que Pasa', performer='La Prieta Linda', label='Peerless', catalog='5053', format='78', path='/recordings/ver-que-pasa-1'	high	raw_extracted
