unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method	candidate_title_clean	extracted_artist_name	split_status	recovered_match_type	recovered_performer_id	recovered_group_id	recovered_entity_name	recovery_status	final_candidate_title	final_artist_name	final_performer_id	final_group_id	unit0119_status	unit0119_recheck_reasons	unit0120_status	unit0120_blockers
UNIT0113-11-001	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	Echele Agua a la Sopa - Los Alegres Parranderos	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	Echele Agua a la Sopa	Los Alegres Parranderos	split	group		GRP0275	Los Alegres Parranderos	recovered_entity	Echele Agua a la Sopa	Los Alegres Parranderos		GRP0275	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-002	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	El Enredo - Joaquín Bedoya y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	El Enredo	Joaquín Bedoya y Su Conjunto	split	none				split_only	El Enredo	Joaquín Bedoya y Su Conjunto		GRP0291	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-003	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	El Duende Alegre - Los Alegres Parranderos	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	El Duende Alegre	Los Alegres Parranderos	split	group		GRP0275	Los Alegres Parranderos	recovered_entity	El Duende Alegre	Los Alegres Parranderos		GRP0275	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-004	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	La Encomienda - Agustín Bedoya y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	La Encomienda	Agustín Bedoya y Su Conjunto	split	none				split_only	La Encomienda	Agustín Bedoya y Su Conjunto		GRP0283	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-005	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	La Dulce Toma - Los Alegres Parranderos	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	La Dulce Toma	Los Alegres Parranderos	split	group		GRP0275	Los Alegres Parranderos	recovered_entity	La Dulce Toma	Los Alegres Parranderos		GRP0275	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-006	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	La Boquitrompona - El Manicomio de Vargasvil	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	La Boquitrompona	El Manicomio de Vargasvil	split	group		GRP0276	El Manicomio de Vargasvil	recovered_entity	La Boquitrompona	El Manicomio de Vargasvil		GRP0276	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-007	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	Que lo DIga Ella - Los Alegres Parranderos	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	Que lo DIga Ella	Los Alegres Parranderos	split	group		GRP0275	Los Alegres Parranderos	recovered_entity	Que lo DIga Ella	Los Alegres Parranderos		GRP0275	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-008	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	Las Piponchas - Agustín Bedoya y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	Las Piponchas	Agustín Bedoya y Su Conjunto	split	none				split_only	Las Piponchas	Agustín Bedoya y Su Conjunto		GRP0283	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-009	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	Ya Voy Toño - Los Alegres Parranderos	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	Ya Voy Toño	Los Alegres Parranderos	split	group		GRP0275	Los Alegres Parranderos	recovered_entity	Ya Voy Toño	Los Alegres Parranderos		GRP0275	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-11-010	SRC0002	11	USB - Colección 100 Parranderas del Siglo	USB - Colección 100 Parranderas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	Varios Artistas	Mi Novia de Malas - Los Integrados	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000016	partial_10_of_15	description_tab	Mi Novia de Malas	Los Integrados	split	group		GRP0277	Los Integrados	recovered_entity	Mi Novia de Malas	Los Integrados		GRP0277	review_required	partial_source_tracklist	promotion_candidate	
